"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0F9V0","2020-04-12 00:00:00","525.000","342.000","2.400","17.000","1.000","955.800","","8.500","-99.000","-99.000","-99.000","23.200","","17.000",""
"C0UA20","2020-04-12 00:00:00","2619.000","205.000","5.100","6.900","1.000","-99.000","","6.500","-99.000","-99.000","-99.000","10.800","","5.000",""
"C0M850","2020-04-12 00:00:00","695.000","0.000","0.000","18.900","0.890","935.300","","0.000","-99.000","-99.000","-99.000","26.900","","16.300",""
"C0C620","2020-04-12 00:00:00","19.000","197.000","0.700","20.500","0.990","1011.800","","16.000","-99.000","-99.000","-99.000","25.000","","18.600",""
"C0I360","2020-04-12 00:00:00","300.000","36.000","0.400","18.600","0.990","979.200","","7.000","-99.000","-99.000","-99.000","25.100","","17.400",""
"C0M810","2020-04-12 00:00:00","1354.000","0.000","0.200","14.300","0.990","866.500","","0.500","-99.000","-99.000","-99.000","19.900","","11.500",""
"C0AC80","2020-04-12 00:00:00","40.000","0.000","0.000","18.100","0.990","1010.000","","16.000","-99.000","-99.000","-99.000","24.000","","17.600",""
"CM0140","2020-04-12 00:00:00","26.000","29.000","0.800","22.200","0.800","1009.900","","0.000","-99.000","-99.000","-99.000","25.600","","21.100",""
"C0SA20","2020-04-12 00:00:00","857.000","188.000","0.600","17.000","1.000","917.200","","0.000","-99.000","-99.000","-99.000","20.000","","14.200",""
"C0K490","2020-04-12 00:00:00","91.000","0.000","0.000","20.200","0.960","1003.900","","1.500","-99.000","-99.000","-99.000","27.500","","18.400",""
"C0V820","2020-04-12 00:00:00","441.000","8.000","2.600","22.200","0.690","966.000","","0.000","-99.000","-99.000","-99.000","29.000","","16.900",""
"C0S810","2020-04-12 00:00:00","65.000","341.000","1.100","21.400","0.890","1007.200","","0.000","-99.000","-99.000","-99.000","27.100","","19.200",""
"C0R580","2020-04-12 00:00:00","10.000","340.000","2.000","23.000","0.850","1011.900","","0.000","-99.000","-99.000","-99.000","26.800","","20.000",""
"C0Z330","2020-04-12 00:00:00","488.000","0.000","0.100","18.000","0.990","959.500","","0.000","-99.000","-99.000","-99.000","24.600","","16.100",""
"C0E590","2020-04-12 00:00:00","40.000","108.000","1.100","17.900","0.990","1009.800","","9.500","-99.000","-99.000","-99.000","22.900","","17.400",""
"C0D540","2020-04-12 00:00:00","227.000","172.000","1.900","16.400","0.970","990.600","","20.500","-99.000","-99.000","-99.000","21.700","","16.100",""
"C0K420","2020-04-12 00:00:00","42.000","17.000","1.900","19.300","0.960","1009.700","","1.000","-99.000","-99.000","-99.000","26.900","","19.300",""
"C0Z180","2020-04-12 00:00:00","34.000","324.000","1.100","20.800","0.890","1008.900","","2.000","-99.000","-99.000","-99.000","24.500","","19.000",""
